datescrap,marketplace,cat1_id,cat2_id,cat3_id,cat1,cat2,cat3
2023-05-31,Tokopedia,984,991,3735,Rumah Tangga,Tempat Penyimpanan,Storage Box Multifungsi
2023-05-31,Tokopedia,984,991,1373,Rumah Tangga,Tempat Penyimpanan,Tempat Obat
2023-05-31,Tokopedia,984,987,1014,Rumah Tangga,Laundry,Lainnya
2023-05-31,Tokopedia,984,987,1013,Rumah Tangga,Laundry,Laundry Bag
2023-05-31,Tokopedia,984,985,1367,Rumah Tangga,Kamar Tidur,Mattress Cover
2023-05-31,Tokopedia,984,985,1259,Rumah Tangga,Kamar Tidur,Sarung Bantal
2023-05-31,Tokopedia,984,986,1004,Rumah Tangga,Kamar Mandi,Gayung
2023-05-31,Tokopedia,984,986,1002,Rumah Tangga,Kamar Mandi,Handuk Mandi
2023-05-31,Tokopedia,8,3318,3409,Buku,Teknik & Sains,Buku Astronomi & Luar Angkasa
2023-05-31,Tokopedia,8,3318,3410,Buku,Teknik & Sains,Buku Biologi
2023-05-31,Tokopedia,984,1654,1657,Rumah Tangga,Taman,Pupuk
2023-05-31,Tokopedia,984,1654,3750,Rumah Tangga,Taman,Sekop Taman
2023-05-31,Tokopedia,8,761,3336,Buku,Sosial Politik,Buku Autobiografi
2023-05-31,Tokopedia,8,761,762,Buku,Sosial Politik,Buku Biografi
2023-05-31,Tokopedia,8,825,3373,Buku,Religi & Spiritual,Al-Quran
2023-05-31,Tokopedia,8,825,3372,Buku,Religi & Spiritual,Alkitab
2023-05-31,Tokopedia,984,992,3714,Rumah Tangga,Furniture,Kursi Bar
2023-05-31,Tokopedia,984,992,3711,Rumah Tangga,Furniture,Kursi Goyang
2023-05-31,Tokopedia,984,988,1016,Rumah Tangga,Kebersihan,Kemoceng
2023-05-31,Tokopedia,984,988,1023,Rumah Tangga,Kebersihan,Lainnya
2023-05-31,Tokopedia,984,991,1368,Rumah Tangga,Tempat Penyimpanan,Tempat Pakaian
2023-05-31,Tokopedia,984,991,1369,Rumah Tangga,Tempat Penyimpanan,Tempat Perhiasan & Aksesoris
2023-05-31,Tokopedia,984,987,3754,Rumah Tangga,Laundry,Meja Setrika
2023-05-31,Tokopedia,984,987,3762,Rumah Tangga,Laundry,Papan Cuci Baju
2023-05-31,Tokopedia,984,985,1000,Rumah Tangga,Kamar Tidur,Selimut
2023-05-31,Tokopedia,984,985,999,Rumah Tangga,Kamar Tidur,Sprei & Bed Cover
2023-05-31,Tokopedia,984,986,3719,Rumah Tangga,Kamar Mandi,Keset Anti Slip
2023-05-31,Tokopedia,984,986,3721,Rumah Tangga,Kamar Mandi,Kimono Mandi
2023-05-31,Tokopedia,8,3318,3408,Buku,Teknik & Sains,Buku Elektro
2023-05-31,Tokopedia,8,3318,3406,Buku,Teknik & Sains,Buku Engineering
2023-05-31,Tokopedia,8,761,3335,Buku,Sosial Politik,Buku Jurnalisme
2023-05-31,Tokopedia,8,761,765,Buku,Sosial Politik,Buku Komunikasi
2023-05-31,Tokopedia,8,825,828,Buku,Religi & Spiritual,Buku Agama Buddha
